央视,#genre#
CCTV1,http://hlsliveali-cdn.ysp.cctv.cn/F1DE6ED639F6A355B5EECAA7E3EEF1CA2893F457D982793357AF57F9F51B7FC8503783207D5A54DFBCC62875C4213589C70D6A1DA0F3492B7983079E5AFFF79DA4D64B20CC0BBB6B566C9A4FE4EA2C119CE49D49D7B509C00EA14F44727AC396CBBD429CD43807480D5870E03B1C330FA6D0B2E87B8F8466D88EE4C873E0EFD92A77C6FF0039499B016DD37E9DDB0A3C5B93C681D7201B2CD1C803FC75A2D908EB9FCB50F31F1060E9D816D6F68506D5/2024078203.m3u8
CCTV2,http://hlsliveali-cdn.ysp.cctv.cn/4CD839037B335B512FBB9DC3B8CA8A99504233506140719D5C04CE0565CF422E2287DAA6619AEE3CA88BAC2EFD2B891B199090ACC51EDC239895120AB03F8C9CBD4ED51AC9A8B12520B63816D1EE60F71249A2C408B7CFBF40DA80389B8E6AA3E986E66217000FE6E06FCE685583AE7B94ED4C7CBC4EE27D5410F1DB75EE8CAE59BD0D5A06F7D836ABF5AA08AB1F3CB9F93697C17938DAA45224E44D470816782F957F22005ED3CE092D0B1323647EF9/2024075402.m3u8
CCTV4,http://hlsliveali-cdn.ysp.cctv.cn/1D8139563CA2D1FC04306C243BCEED36DF67511CD44CEC1AF19D4059B5B311A995FAEC126A874232BF41FF6EED0CEFBE8D176452830601F6B953B9D1142E210FCAB6D011DAF009875D17C2163CD5CDBF132E7F5D8A24D34D73920E6AD88EBB1AF72ADC31955C1353F3B08C25B504E2A8D00CB2F553824DA0A4037B05B84DCE5739F03CC0D89592D639A514AA70F0C503318C32008B1B49FD3589A5466EE1FBF24D0FA8AFE9D5ABDA7ECA9A8205033D58/2024078303.m3u8
CCTV5限免,http://hlsliveali-cdn.ysp.cctv.cn/1A44FBA44CE98CABF37CEC35A7C61AFA702D70086F23E7735C67D47294F3D5AC049C9CEEFCAA90AE2ACF80217DD77062062D65F56F433645C1E50C7551EF883AFE283DDC4E95F74D0B1C4684D102C3298B582DDED1CDA162FCB4B52B5458D57CF50DC51457D8970D4B29F3B103AEB5125839E982080E6394CDFDAEDDDC581C88CD71F86DD668C8AC2256CE9E7BAF9BDF1FC0CBF26E54A32A64E0A177FD4AD8486504390BE627597BB61AEAF4D105F5D4/2024078403.m3u8
CCTV5+限免,http://hlsliveali-cdn.ysp.cctv.cn/03E010C3FFBA3F42EC3F874EC7311E88A6643A9C354BEB5D41753DDBF52B2AEDC8C507BA297A711909288DDD363789892767EF7165DFD8D2CABEEAF92F5DB68D6F6C33411C15F2457ECFB396AAF2F1ED4C0289C30CCA31082EED2486ABAF9CF7E6CFDE5615EEBB46DA5C797CF5F43C48B10B78A18904CE71ECD91E5DE55BDE68DF8A9A02E980ED3ACC2ACD911774297D8331C656A6440AEBB2774766DB239D2847C05DEBA62BC714B29C9677D97346B6/2024078003.m3u8
CCTV6限免,http://mobileliveali-cdn.ysp.cctv.cn/ysp/9E474C3FE543492DB7898BCFC9B4C1DD803B685890040D1D32BB6BB35EB2CE0D25B9DB2517678FC45BED22586ABC50E367D9544D9326155E9FBD4B2D1EDDB9786861E715CF8F1544BC45838596C9FBC5FB6653651651A165634FC37D8B5414E5E44EE92AFF625745EA0E17D0AA0162EE07DFF5E625FECC6A2087424D6A3202E8766322CC7A5C83557BAEA50E0A7D2FD96D41C2E7C3E634F4D3A328F495D91F6A2052D9E234675528550DF552285FAD91/2013693901_shd.m3u8
CCTV7,http://hlsliveali-cdn.ysp.cctv.cn/33EF8FF92FA69E7723710BD1F5F9516E8B9A7F46D5FE3BBF2C8CB024753242882E8E8FB348AA020748BBF1493A51749266A76793BEEC21AAF421E7EBBCFAA065ED20C6F508EDEAD64D48B66436353EEB20C39C713EAD6733C4B761D21E1B302C3B181277294C18973D9EF5CB07EF36C1C59B07B8BDDEB97F8A102F8474E7EEAB5B94CDC90E6A4530A6D20ED3202CC42005B28D2AE16A43CA76B699601E8F0B5E4865F137C57AC9C4BC0D07AD6F844FD8/2024072002.m3u8
CCTV8限免,http://hlsliveali-cdn.ysp.cctv.cn/AF436D3328E833504F6B245DF781C269985B94B0ABB13ADB80E25C9BA967C4AD38479704F836E5879357205131EB18EE3B3F85FBD1BC8D692F6D0650F7C44C34EE2F900F93842B5A29712777BA2F9203DFF49064C5AD7668ABEEBD3D51E38E64D99980060279BEDC9235EEE9116796C86A158B265052A409D33822915E112214359057B1899BA9EC31462EFA3630CBD387EFF457E1002B406F4E3FB5950C14852679BF3A0CD072C1C43FCE7CBB50A517/2024078502.m3u8
CCTV9,http://hlsliveali-cdn.ysp.cctv.cn/8949E032A946F5BCA933B42DA706CF5C8D6A058A2E7F6F4125C890463E1DB4044698291F6AA5233BE6FD0CCD5FCD9CAD6D14BEB41E8E877340D887FCFBCDD9DF48D2BFA23374301F1410154417FE2455CFA09BA61915C8B00E2A97088158576067E017CDA1874404CC3768B01FF90FF4F6383671473FDFDE4F0524225648EA9938238036A7382C8099314F025CFD73163F404383F548E2FEB2336CA8A40643E6AD3B9A7816DEB6B27140C2A9069931BD/2024078602.m3u8
CCTV10,http://hlsliveali-cdn.ysp.cctv.cn/18CC96C1FD1D9ADE6143B00B6F4BC3E584BCFD34BE8B279FDB5C067015DB5660FCE5D7267138FB52CBD5A42AEA8E74CADB1C7F96B6EF56F6DBA417F83353CDD4D3DD79E6F9F23C158A96A0E35E2084F9D571B3D08242D2FAF317B78DFCEC5CA223DD93306A82B04D4A645A42C851C353466B59E639F42E951948766FECD7D6BF852B92ABAE349C9CA51020765CB3E99606DDCC80E1B6781328A638752D61BCA0EC1106530B821ABA960A3EBD73BD6065/2024078702.m3u8
CCTV11,http://hlsliveali-cdn.ysp.cctv.cn/10100F353BA6A604A1499C262E5A95F3A075F9F3259C1864962E58E0B7CD0668B1470A47F2D192B10B0347F1D1FEB4BC56EF368C98F40C28D3931DDF9927655168BA20B4D6E3789C49C8FFF415B580E596ED0AF9361073975854EC6C43F4EEC1CBEAD531DEEAEB433B517F6AA8AF54ED6C08C336EA7D1C9FC1DBD51443A53767C0CF024346E268BB3EE18719F6F04DF68178C57D0B39783633ECCFCF82DBC4DBA0B376F4D91C40D81FE7FB5F90879535/2024078802.m3u8
CCTV12,http://hlsliveali-cdn.ysp.cctv.cn/06EE21D1F4D475B8D009366F39199376DF9B8B78A0CC77F4A187F525222A1D0983DB166988BCEECE41503C6A360B63D06DCA41EDD1513B849264F2EF5EB47E0E888A62BF610C0B863FE6CDD41AEE8502D4B6278AB11CFA9A4798E9EEF8AB22E349866BB0CFD8D6039F9CCB65BF141A9C224A8409EFC850AF7BA4614097F5E373F9E0E04363391ED19B7B06BF7E0A64E3C08500D3D83DB070E64FBD906A480FE4BA3B51E42884932ECD4DA8FABE86517A/2024078902.m3u8
CCTV13,http://hlsliveali-cdn.ysp.cctv.cn/9BC61B0D44D1DDFC6181E2D23E9F7FE2A0C680060DFCA178A831A090C479FE341AF0DA252EA5E9294F1BB633CC4488EC31229AD7CE0B295B5E88962D27C78B7D26DAC215B47FAB664E6300A2953285B0632448E29F1A3BB6D32A9E386DD28986CEE8A02B71A4D0EEDA7FD0CB5E16E714B0793C6C6B1A0DB4786C135A90093AAC9C4C166D44A5BACB25B0EA172C8D6EDF7EFB0308DD77A4D8CD8F30A0867CF4A413B20381E9B16774287C71C5F151392B/2024079003.m3u8
CCTV14,http://hlsliveali-cdn.ysp.cctv.cn/CAA97332F72323D36A6580CBBB3591DB64A9947D4983BBA3318BFE6146746FA7CA966561D7D774D625C6B0199A9B76B649C0587B011AFBDE7A5513441C3966FE7CB88E0ED969936E948FD0F38545A86687BEB4579A893F84B46DBF72D4CE111895ED07AE2B4D951D38AD3641D9CAFF0FC33C1AE351AE32FDC8259812470CF33CFA2EA8D7A2A8A6441C7A50B7CDBBB62A24B23BDF5CA9AE492B207324A7FB3FF90E958D4B673B829EA450E6672F91CE9F/2024079102.m3u8
